"code" "name" "market" "control_date" "control_status" "main_cost_value"
"000001" "平安银行" "000001.sz" "2016-01-14" "微弱控盘" 13.24
"000002" "万  科Ａ" "000002.sz" NA "" NA
"000004" "国农科技" "000004.sz" "2016-01-14" "微弱控盘" 40.04
"000005" "" "000005.sz" NA "" NA
"000006" "深振业Ａ" "000006.sz" "2016-01-14" "微弱控盘" 11.44
"000007" "零七股份" "000007.sz" NA "" NA
"000008" "神州高铁" "000008.sz" "2016-01-14" "微弱控盘" 11.96
"000009" "中国宝安" "000009.sz" "2016-01-14" "微弱控盘" 16.93
"000010" "深华新" "000010.sz" "2016-01-14" "微弱控盘" 9.51
"000011" "深物业A" "000011.sz" "2016-01-14" "微弱控盘" 14.07
"000012" "南  玻Ａ" "000012.sz" "2016-01-14" "微弱控盘" 12.22
"000014" "沙河股份" "000014.sz" "2016-01-14" "微弱控盘" 21.88
"000016" "深康佳Ａ" "000016.sz" "2016-01-14" "微弱控盘" 6.9
"000017" "深中华A" "000017.sz" "2016-01-14" "微弱控盘" 13.45
"000018" "" "000018.sz" NA "" NA
"000019" "深深宝Ａ" "000019.sz" "2016-01-14" "微弱控盘" 16.67
"000020" "深华发Ａ" "000020.sz" "2016-01-14" "微弱控盘" 30.64
"000021" "" "000021.sz" NA "" NA
"000022" "" "000022.sz" NA "" NA
"000023" "" "000023.sz" NA "" NA
"000024" "招商地产" "000024.sz" NA "" NA
"000025" "特  力Ａ" "000025.sz" "2016-01-14" "中度控盘" 86.5
"000026" "飞亚达Ａ" "000026.sz" "2016-01-14" "微弱控盘" 15.13
"000027" "深圳能源" "000027.sz" "2016-01-14" "微弱控盘" 10.47
"000028" "国药一致" "000028.sz" NA "" NA
"000029" "深深房Ａ" "000029.sz" "2016-01-14" "微弱控盘" 13.19
"000030" "富奥股份" "000030.sz" "2016-01-14" "微弱控盘" 9.73
"000031" "中粮地产" "000031.sz" "2016-01-14" "微弱控盘" 14.58
"000032" "" "000032.sz" NA "" NA
"000034" "深信泰丰" "000034.sz" NA "" NA
"000035" "中国天楹" "000035.sz" NA "" NA
"000036" "华联控股" "000036.sz" "2016-01-14" "轻度控盘" 8.02
"000037" "" "000037.sz" NA "" NA
"000038" "深大通" "000038.sz" NA "" NA
"000039" "中集集团" "000039.sz" "2016-01-14" "微弱控盘" 21.13
"000040" "宝安地产" "000040.sz" "2016-01-14" "微弱控盘" 15.23
"000042" "中洲控股" "000042.sz" "2016-01-14" "微弱控盘" 19.74
"000043" "中航地产" "000043.sz" "2016-01-14" "微弱控盘" 11.75
"000045" "" "000045.sz" NA "" NA
"000046" "泛海控股" "000046.sz" "2016-01-14" "微弱控盘" 13.35
"000048" "" "000048.sz" NA "" NA
"000049" "德赛电池" "000049.sz" "2016-01-14" "微弱控盘" 53.01
"000050" "深天马Ａ" "000050.sz" "2016-01-14" "微弱控盘" 20.8
"000055" "方大集团" "000055.sz" "2016-01-14" "微弱控盘" 11.88
"000056" "" "000056.sz" NA "" NA
"000058" "深 赛 格" "000058.sz" NA "" NA
"000059" "*ST华锦" "000059.sz" "2016-01-14" "微弱控盘" 8.01
"000060" "中金岭南" "000060.sz" "2016-01-14" "微弱控盘" 13.63
"000061" "农 产 品" "000061.sz" "2016-01-14" "微弱控盘" 16.94
"000062" "" "000062.sz" NA "" NA
"000063" "中兴通讯" "000063.sz" "2016-01-14" "微弱控盘" 18.59
"000065" "北方国际" "000065.sz" NA "" NA
"000066" "长城电脑" "000066.sz" NA "" NA
"000068" "" "000068.sz" NA "" NA
"000069" "华侨城Ａ" "000069.sz" "2016-01-14" "微弱控盘" 8.85
"000070" "特发信息" "000070.sz" "2016-01-14" "微弱控盘" 26.67
"000078" "海王生物" "000078.sz" "2016-01-14" "微弱控盘" 20.15
"000088" "盐 田 港" "000088.sz" "2016-01-14" "微弱控盘" 9.39
"000089" "深圳机场" "000089.sz" "2016-01-14" "微弱控盘" 8.29
"000090" "天健集团" "000090.sz" "2016-01-14" "微弱控盘" 18.26
"000096" "广聚能源" "000096.sz" "2016-01-14" "微弱控盘" 17.07
"000099" "中信海直" "000099.sz" "2016-01-14" "微弱控盘" 15.42
"000100" "TCL 集团" "000100.sz" "2016-01-14" "微弱控盘" 4.32
"000150" "" "000150.sz" NA "" NA
"000151" "" "000151.sz" NA "" NA
"000153" "丰原药业" "000153.sz" NA "" NA
"000155" "" "000155.sz" NA "" NA
"000156" "华数传媒" "000156.sz" "2016-01-14" "微弱控盘" 31.81
"000157" "中联重科" "000157.sz" "2016-01-14" "微弱控盘" 5.89
"000158" "常山股份" "000158.sz" "2016-01-14" "微弱控盘" 18.03
"000159" "" "000159.sz" NA "" NA
"000301" "" "000301.sz" NA "" NA
"000333" "美的集团" "000333.sz" "2016-01-14" "轻度控盘" 30.71
"000338" "" "000338.sz" NA "" NA
"000400" "许继电气" "000400.sz" "2016-01-14" "微弱控盘" 19.62
"000401" "冀东水泥" "000401.sz" "2016-01-14" "轻度控盘" 11.09
"000402" "金 融 街" "000402.sz" "2016-01-14" "微弱控盘" 11.33
"000404" "" "000404.sz" NA "" NA
"000407" "胜利股份" "000407.sz" "2016-01-14" "微弱控盘" 7.56
"000408" "金谷源" "000408.sz" "2016-01-14" "微弱控盘" 17.94
"000409" "山东地矿" "000409.sz" "2016-01-14" "微弱控盘" 11.32
"000410" "沈阳机床" "000410.sz" "2016-01-14" "微弱控盘" 24.48
"000411" "" "000411.sz" NA "" NA
"000413" "东旭光电" "000413.sz" "2016-01-14" "微弱控盘" 9.09
"000415" "渤海租赁" "000415.sz" "2016-01-14" "微弱控盘" 8.77
"000416" "民生控股" "000416.sz" "2016-01-14" "微弱控盘" 9.55
"000417" "合肥百货" "000417.sz" "2016-01-14" "微弱控盘" 10.4
"000418" "小天鹅Ａ" "000418.sz" "2016-01-14" "中度控盘" 22.61
"000419" "通程控股" "000419.sz" "2016-01-14" "微弱控盘" 8.63
"000420" "吉林化纤" "000420.sz" "2016-01-14" "微弱控盘" 7.21
"000421" "南京中北" "000421.sz" "2016-01-14" "微弱控盘" 9.02
"000422" "湖北宜化" "000422.sz" "2016-01-14" "微弱控盘" 7.57
"000423" "" "000423.sz" NA "" NA
"000425" "徐工机械" "000425.sz" "2016-01-14" "微弱控盘" 4.47
