abbr_name,code,name
北京,301000000,北京板块
上海,302000000,上海板块
天津,303000000,天津板块
广东,304000000,广东板块
重庆,305000000,重庆板块
黑龙江,306000000,黑龙江板块
吉林,307000000,吉林板块
辽宁,308000000,辽宁板块
河北,309000000,河北板块
河南,310000000,河南板块
山东,311000000,山东板块
山西,312000000,山西板块
陕西,313000000,陕西板块
宁夏,314000000,宁夏板块
甘肃,315000000,甘肃板块
新疆,316000000,新疆板块
内蒙古,317000000,内蒙古板块
西藏,318000000,西藏板块
四川,319000000,四川板块
云南,320000000,云南板块
贵州,321000000,贵州板块
广西,322000000,广西板块
海南,323000000,海南板块
湖北,324000000,湖北板块
湖南,325000000,湖南板块
江西,326000000,江西板块
江苏,327000000,江苏板块
浙江,328000000,浙江板块
安徽,329000000,安徽板块
福建,330000000,福建板块
青海,331000000,青海板块
