code,name,market,main_cost_year,main_cost_month_day,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000001,平安银行,000001.sz,2015,330,13.56,15.66,16.04,1693334,274358,16.60,15.89,16.09,2,0.187
000002,万科Ａ,000002.sz,2015,330,12.31,14.24,14.85,4759715,694173,14.97,14.10,14.24,2,0.157
000004,国农科技,000004.sz,2015,330,20.32,23.60,23.61,11499,2694,23.83,23.10,23.72,2,0.167
000005,世纪星源,000005.sz,2014,1226,4.21,0,0,0,0,0,0,0,0,-1
000006,深振业Ａ,000006.sz,2015,330,7.24,9.04,9.24,702762,63916,9.33,8.78,8.91,2,0.231
000007,零七股份,000007.sz,2015,330,15.86,18.71,18.72,28926,5408,19.09,18.50,18.96,2,0.195
000008,宝利来,000008.sz,2015,311,19.7,0,0,0,0,0,0,0,0,-1
000009,中国宝安,000009.sz,2015,330,15.03,16.65,16.83,395277,66641,17.04,16.70,16.73,2,0.113
000010,深华新,000010.sz,2014,1225,7.78,0,0,0,0,0,0,0,0,-1
000011,深物业A,000011.sz,2015,330,10.72,12.36,12.60,158268,19651,12.80,12.10,12.20,2,0.138
000012,南玻Ａ,000012.sz,2015,318,9.85,0,0,0,0,0,0,0,0,-1
000014,沙河股份,000014.sz,2015,330,15.66,20.75,21.16,70631,14702,21.28,20.41,20.90,2,0.335
000016,深康佳Ａ,000016.sz,2015,330,8.79,9.97,9.98,156480,15839,10.24,9.98,10.08,2,0.147
000017,深中华A,000017.sz,2015,330,8.59,9.50,9.56,115144,11225,10.14,9.40,9.87,2,0.149
000018,中冠A,000018.sz,2015,330,23.54,25.46,25.54,26822,6970,26.36,25.50,26.36,2,0.12
000019,深深宝Ａ,000019.sz,2015,330,8.9,11.01,11.00,24531,2672,11.06,10.79,10.82,2,0.216
000020,深华发Ａ,000020.sz,2015,330,11.16,13.74,13.89,54244,7351,13.89,13.31,13.55,2,0.214
000021,深科技,000021.sz,2015,330,9.31,11.73,11.73,198739,23084,11.80,11.50,11.66,2,0.252
000022,深赤湾Ａ,000022.sz,2015,330,19.36,23.88,23.95,42262,9968,24.09,23.30,23.53,2,0.215
000023,深天地Ａ,000023.sz,2015,330,20.24,27.40,27.75,24318,6607,27.99,26.50,26.80,2,0.324
000024,招商地产,000024.sz,2015,330,26.76,33.44,34.50,1064397,374439,36.38,34.12,34.99,2,0.308
000025,特力Ａ,000025.sz,2015,330,13.84,20.11,20.18,17273,3453,20.38,19.63,20.00,2,0.445
000026,飞亚达Ａ,000026.sz,2015,330,11.74,14.15,14.15,49241,7053,14.60,13.98,14.55,2,0.239
000027,深圳能源,000027.sz,2015,330,11.25,13.23,13.21,275416,37264,13.74,13.21,13.53,2,0.203
000028,国药一致,000028.sz,2015,330,48.1,58.41,58.40,32382,19556,61.19,58.01,60.98,2,0.268
000029,深深房Ａ,000029.sz,2015,330,6.42,10.41,10.90,513114,57941,11.45,10.77,11.45,2,0.783
000030,富奥股份,000030.sz,2015,330,9.29,11.10,11.11,109130,11918,11.11,10.79,10.95,2,0.179
000031,中粮地产,000031.sz,2015,330,8.93,10.64,11.01,847872,92059,11.25,10.40,10.60,2,0.187
000032,深桑达Ａ,000032.sz,2015,330,12.87,15.96,15.90,27325,4411,16.49,15.90,16.17,2,0.256
000034,深信泰丰,000034.sz,2015,320,7.84,0,0,0,0,0,0,0,0,-1
000035,中国天楹,000035.sz,2015,330,15.13,18.71,19.00,86922,16076,19.00,18.16,18.71,2,0.237
000036,华联控股,000036.sz,2015,330,4.58,5.61,5.74,537772,30234,5.76,5.43,5.59,2,0.221
000037,深南电Ａ,000037.sz,2015,330,8.62,9.28,9.28,64893,5965,9.35,9.10,9.17,2,0.064
000038,深大通,000038.sz,2015,323,22.81,0,0,0,0,0,0,0,0,-1
000039,中集集团,000039.sz,2015,330,20.4,23.30,23.47,248016,58040,23.80,23.10,23.31,2,0.143
000040,宝安地产,000040.sz,2015,330,6.87,9.20,9.40,135811,12611,9.50,9.00,9.09,2,0.323
000042,中洲控股,000042.sz,2015,330,14.6,19.00,19.60,179240,35538,20.39,19.60,19.67,2,0.347
000043,中航地产,000043.sz,2015,330,9.93,12.56,12.88,382338,48581,13.19,12.25,12.52,2,0.261
000045,深纺织Ａ,000045.sz,2015,330,10.69,12.07,12.10,54433,6506,12.19,11.80,12.07,2,0.129
000046,泛海控股,000046.sz,2015,330,9.28,14.29,14.60,551293,79789,14.85,14.10,14.26,2,0.537
000048,康达尔,000048.sz,2015,330,11.99,15.65,15.68,43120,6818,16.09,15.61,15.94,2,0.329
000049,德赛电池,000049.sz,2015,330,38.75,41.04,40.68,25279,10356,41.29,40.68,41.01,2,0.058
000050,深天马Ａ,000050.sz,2015,330,23.69,26.89,27.00,75908,20273,27.01,26.52,26.99,2,0.139
