code,name,market,main_cost_year,main_cost_month_day,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type
000001,平安银行,000001.sz,2015,407,13.81,16.81,16.93,3371646,578445,18.08,16.65,17.92,2
000002,万科Ａ,000002.sz,2015,407,12.61,13.72,13.72,4489815,614100,13.92,13.41,13.82,2
000004,国农科技,000004.sz,2015,407,21.4,25.96,25.97,42921,10908,26.01,24.85,25.27,2
000005,世纪星源,000005.sz,2014,1226,4.21,0,0,0,0,0,0,0,0
000006,深振业Ａ,000006.sz,2015,407,7.84,9.76,9.77,994161,98634,10.22,9.58,9.99,2
000007,零七股份,000007.sz,2015,407,16.79,20.57,20.42,110556,23197,22.14,20.07,21.80,2
000008,宝利来,000008.sz,2015,311,19.7,0,0,0,0,0,0,0,0
000009,中国宝安,000009.sz,2015,407,15.67,18.27,18.25,682375,122837,18.39,17.52,17.95,2
000010,深华新,000010.sz,2014,1225,7.78,0,0,0,0,0,0,0,0
000011,深物业A,000011.sz,2015,407,11.41,12.62,12.76,290393,37880,13.60,12.50,13.00,2
000012,南玻Ａ,000012.sz,2015,318,9.85,0,0,0,0,0,0,0,0
000014,沙河股份,000014.sz,2015,407,16.99,25.02,25.02,103693,24899,25.19,23.49,24.10,2
000016,深康佳Ａ,000016.sz,2015,407,9.37,11.65,11.66,310878,35005,11.78,10.50,11.21,2
000017,深中华A,000017.sz,2015,407,9.22,11.13,11.15,191619,21465,11.74,10.78,11.50,2
000018,中冠A,000018.sz,2015,407,24.46,28.12,28.23,35663,9711,28.40,26.39,26.67,2
000019,深深宝Ａ,000019.sz,2015,407,9.28,12.31,12.26,95370,11785,12.70,12.12,12.16,2
000020,深华发Ａ,000020.sz,2015,407,13.36,15.07,15.08,88256,12940,15.15,14.15,14.47,2
000021,深科技,000021.sz,2015,407,9.68,12.25,12.28,535027,63699,12.38,11.51,11.77,2
000022,深赤湾Ａ,000022.sz,2015,407,19.72,24.45,24.47,111128,26770,24.50,23.60,24.14,2
000023,深天地Ａ,000023.sz,2015,407,20.96,27.01,26.98,31513,8507,27.48,26.60,27.04,2
000024,招商地产,000024.sz,2015,402,28.3,0,0,0,0,0,0,0,0
000025,特力Ａ,000025.sz,2015,407,15,20.06,20.06,81884,16470,20.68,19.82,20.68,2
000026,飞亚达Ａ,000026.sz,2015,407,12.42,17.36,17.00,85617,14625,17.55,16.73,17.08,2
000027,深圳能源,000027.sz,2015,407,11.93,14.74,14.74,483085,69843,14.74,14.16,14.44,2
000028,国药一致,000028.sz,2015,407,49.43,67.99,66.90,31484,21342,69.18,66.01,68.10,2
000029,深深房Ａ,000029.sz,2015,407,7.58,11.27,11.19,399346,44801,11.54,10.90,11.30,2
000030,富奥股份,000030.sz,2015,407,9.68,11.57,11.59,277718,31137,11.66,10.80,11.10,2
000031,中粮地产,000031.sz,2015,407,9.18,10.20,10.24,716138,72394,10.29,9.89,10.12,2
000032,深桑达Ａ,000032.sz,2015,407,13.32,17.23,17.19,73843,12783,17.78,16.81,17.18,2
000034,深信泰丰,000034.sz,2015,320,7.84,0,0,0,0,0,0,0,0
000035,中国天楹,000035.sz,2015,407,16.54,19.57,19.54,112526,21366,19.54,18.60,18.90,2
000036,华联控股,000036.sz,2015,407,4.81,5.82,5.81,868527,51303,6.05,5.70,5.88,2
000037,深南电Ａ,000037.sz,2015,407,9.14,11.15,11.16,200347,21962,11.33,10.58,11.02,2
000038,深大通,000038.sz,2015,323,22.81,0,0,0,0,0,0,0,0
000039,中集集团,000039.sz,2015,407,20.89,24.56,24.57,583068,145061,25.26,24.20,25.15,2
000040,宝安地产,000040.sz,2015,407,7.23,9.36,9.36,237399,22574,9.85,9.19,9.55,2
000042,中洲控股,000042.sz,2015,407,15.74,23.96,24.20,192950,46339,25.00,23.10,23.87,2
000043,中航地产,000043.sz,2015,407,10.51,12.26,12.27,461885,56035,12.45,11.81,12.33,2
000045,深纺织Ａ,000045.sz,2015,407,10.92,13.05,13.10,166362,22209,13.80,12.90,13.47,2
000046,泛海控股,000046.sz,2015,407,9.6,16.25,17.68,1828716,319557,17.88,16.68,17.88,2
000048,康达尔,000048.sz,2015,407,12.42,16.45,16.46,96119,15345,16.47,15.60,15.75,2
000049,德赛电池,000049.sz,2015,407,39.86,44.14,44.15,104478,45127,44.40,42.30,42.92,2
000050,深天马Ａ,000050.sz,2015,407,24.31,27.56,27.79,238918,65065,27.87,26.63,26.79,2
000055,方大集团,000055.sz,2015,407,10.41,11.84,11.83,234072,26979,11.83,11.28,11.45,2
000056,深国商,000056.sz,2015,407,18,22.91,23.25,105101,24263,23.75,21.99,23.74,2
000058,深赛格,000058.sz,2015,407,9.33,11.37,11.50,191306,21247,11.50,10.87,11.00,2
000059,华锦股份,000059.sz,2015,407,9.76,10.83,10.85,478225,50606,10.90,10.34,10.48,2
000060,中金岭南,000060.sz,2015,407,11.42,15.51,15.52,1214790,183707,15.60,14.65,15.10,2
000061,农产品,000061.sz,2015,407,13.17,16.28,16.30,363701,57885,16.39,15.61,15.78,2
000062,深圳华强,000062.sz,2015,312,21.08,0,0,0,0,0,0,0,0
000063,中兴通讯,000063.sz,2015,407,20.17,23.33,23.46,1806958,431178,24.62,23.04,24.34,2
000065,北方国际,000065.sz,2015,407,20.1,24.15,24.85,250581,61727,25.50,23.77,24.60,2
000066,长城电脑,000066.sz,2015,407,12.12,17.42,17.42,448213,75656,17.54,16.33,16.70,2
000068,华控赛格,000068.sz,2015,126,8.94,0,0,0,0,0,0,0,0
000069,华侨城Ａ,000069.sz,2015,407,8.76,9.69,9.76,2136047,206179,9.79,9.40,9.70,2
000070,特发信息,000070.sz,2014,912,10.35,0,0,0,0,0,0,0,0
000078,海王生物,000078.sz,2015,407,12.84,17.37,18.00,1319040,235706,18.68,16.79,17.55,2
000088,盐田港,000088.sz,2015,407,9.95,11.30,11.35,521080,58575,11.39,11.06,11.25,2
000089,深圳机场,000089.sz,2015,407,6.29,8.82,8.82,453240,40552,9.18,8.68,8.86,2
000090,天健集团,000090.sz,2015,407,15.46,19.94,20.28,261185,53159,21.28,19.35,20.96,2
000096,广聚能源,000096.sz,2015,407,8.61,10.95,11.00,183556,20057,11.20,10.54,10.87,2
000099,中信海直,000099.sz,2015,407,15.49,17.14,17.18,304747,50980,17.25,16.38,16.44,2
000100,TCL集团,000100.sz,2015,407,5.43,6.44,6.46,4092338,260252,6.51,6.21,6.44,2
000150,宜华地产,000150.sz,2015,407,27.73,46.40,46.10,84410,37852,47.00,43.75,45.35,2
000151,中成股份,000151.sz,2015,407,21.23,23.60,23.51,141330,32438,23.60,22.40,22.97,2
000153,丰原药业,000153.sz,2015,407,13.25,15.17,15.18,213324,31674,15.27,14.52,14.80,2
000155,川化股份,000155.sz,2015,407,9.31,10.46,10.40,273226,27800,10.48,9.94,10.09,2
000156,华数传媒,000156.sz,2015,407,40.96,49.49,49.49,66881,32369,49.49,46.97,48.55,2
000157,中联重科,000157.sz,2015,407,6.71,7.73,7.75,2969183,229486,7.85,7.61,7.75,2
000158,常山股份,000158.sz,2015,407,13.61,17.80,17.80,192238,33212,17.86,16.70,17.17,2
000159,国际实业,000159.sz,2015,407,12.18,14.25,14.25,330065,45894,14.25,13.55,13.81,2
000301,东方市场,000301.sz,2015,407,5.65,7.72,7.61,1018365,79351,8.18,7.30,7.96,2
000333,美的集团,000333.sz,2015,407,26.87,34.15,34.25,373640,126379,34.28,33.31,33.91,2
000338,潍柴动力,000338.sz,2015,407,28.39,33.09,33.30,518292,170938,33.60,32.30,32.88,2
000400,许继电气,000400.sz,2015,407,27.89,31.38,31.45,527524,161797,31.65,29.92,30.56,2
000401,冀东水泥,000401.sz,2015,407,12.98,19.40,19.35,362535,68123,19.35,18.30,18.85,2
000402,金融街,000402.sz,2015,407,10.28,12.25,12.27,1563207,192124,12.67,11.91,12.54,2
000404,华意压缩,000404.sz,2015,407,8.45,9.51,9.53,302551,28212,9.56,9.15,9.25,2
000407,胜利股份,000407.sz,2015,407,7.67,9.27,9.35,412661,38070,9.50,9.00,9.12,2
000408,金谷源,000408.sz,2015,407,12.74,15.80,15.80,109277,17263,16.15,15.50,15.65,2
000409,山东地矿,000409.sz,2015,407,13.71,16.74,16.59,195886,31864,16.69,15.80,16.36,2
000410,沈阳机床,000410.sz,2015,302,16.9,0,0,0,0,0,0,0,0
