code,name,market,主力控盘日期,控盘程度,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000001,平安银行,000001.sz,2015-04-09,强烈控盘,14.08,18.00,18.00,3340210,633964,19.80,17.85,19.80,2,0.406
000002,万  科Ａ,000002.sz,2015-04-09,中度控盘,12.78,14.64,14.28,4248942,606735,14.47,14.07,14.32,2,0.121
000004,国农科技,000004.sz,2015-04-09,强烈控盘,21.7,24.61,24.50,21234,5272,25.10,24.10,24.94,2,0.149
000005,世纪星源,000005.sz,2014-12-26,微弱控盘,4.21,0,0,0,0,0,0,0,0,-1
000006,深振业Ａ,000006.sz,2015-04-09,强烈控盘,8.2,10.88,10.89,1005934,112652,11.68,10.50,11.10,2,0.354
000007,零七股份,000007.sz,2015-04-09,强烈控盘,17.23,21.88,21.74,68936,15040,22.50,21.25,21.82,2,0.266
000008,神州高铁,000008.sz,2015-03-11,强烈控盘,19.7,0,0,0,0,0,0,0,0,-1
000009,中国宝安,000009.sz,2015-04-09,强烈控盘,15.9,18.31,18.72,745046,140759,19.29,18.50,18.78,2,0.181
000010,深华新,000010.sz,2014-12-25,微弱控盘,7.78,0,0,0,0,0,0,0,0,-1
000011,深物业A,000011.sz,2015-04-09,强烈控盘,12.12,14.30,14.82,434315,66983,15.73,14.56,15.73,2,0.298
000012,南  玻Ａ,000012.sz,2015-03-18,强烈控盘,9.85,0,0,0,0,0,0,0,0,-1
000014,沙河股份,000014.sz,2015-04-09,强烈控盘,17.63,23.80,23.68,74947,18225,24.80,22.90,24.55,2,0.393
000016,深康佳Ａ,000016.sz,2015-04-09,强烈控盘,9.55,11.65,11.59,417204,52019,12.82,11.43,12.63,2,0.323
000017,深中华A,000017.sz,2015-04-09,强烈控盘,9.48,11.68,11.60,199091,24235,12.69,11.40,12.46,2,0.314
000018,中冠A,000018.sz,2015-04-09,强烈控盘,24.65,27.43,27.47,37115,10218,27.99,26.30,27.58,2,0.119
000019,深深宝Ａ,000019.sz,2015-04-09,强烈控盘,9.49,12.06,12.05,77582,9567,12.66,11.90,12.42,2,0.309
000020,深华发Ａ,000020.sz,2015-04-09,强烈控盘,13.58,14.11,14.00,63915,9228,14.74,13.81,14.58,2,0.074
000021,深科技,000021.sz,2015-04-09,强烈控盘,9.81,11.36,11.30,341271,39319,11.66,11.10,11.57,2,0.179
000022,深赤湾Ａ,000022.sz,2015-04-09,强烈控盘,19.97,25.00,24.66,146316,36988,25.90,24.43,25.40,2,0.272
000023,深天地Ａ,000023.sz,2015-04-09,强烈控盘,21.23,26.87,26.50,37779,10260,27.60,26.43,27.16,2,0.279
000024,招商地产,000024.sz,2015-04-02,高度控盘,28.3,0,0,0,0,0,0,0,0,-1
000025,特  力Ａ,000025.sz,2015-04-09,强烈控盘,15.35,19.76,19.42,40544,8126,20.24,19.41,20.19,2,0.315
000026,飞亚达Ａ,000026.sz,2015-04-08,强烈控盘,12.36,0,0,0,0,0,0,0,0,-1
000027,深圳能源,000027.sz,2015-04-09,强烈控盘,12.17,14.59,14.49,510335,75901,15.22,14.31,15.03,2,0.235
000028,国药一致,000028.sz,2015-04-09,强烈控盘,50.01,71.48,72.99,55618,42555,78.63,72.56,78.63,2,0.572
000029,深深房Ａ,000029.sz,2015-04-09,强烈控盘,8.02,12.43,12.49,577443,74464,13.45,12.19,12.46,2,0.554
000030,富奥股份,000030.sz,2015-04-09,强烈控盘,9.8,10.77,10.71,176834,19483,11.16,10.69,11.09,2,0.132
000031,中粮地产,000031.sz,2015-04-09,高度控盘,9.37,11.13,11.20,1998470,235697,12.23,11.13,11.92,2,0.272
000032,深桑达Ａ,000032.sz,2015-04-09,强烈控盘,13.57,17.20,17.35,97897,17785,18.92,17.31,18.92,2,0.394
000034,深信泰丰,000034.sz,2015-03-20,强烈控盘,7.84,0,0,0,0,0,0,0,0,-1
000035,中国天楹,000035.sz,2015-04-09,强烈控盘,16.77,18.42,18.26,94875,17684,18.98,17.93,18.78,2,0.12
000036,华联控股,000036.sz,2015-04-09,强烈控盘,4.96,6.07,5.98,803545,49840,6.49,5.90,6.37,2,0.284
000037,深南电Ａ,000037.sz,2015-04-09,强烈控盘,9.4,12.12,12.18,323228,41883,13.33,11.90,13.13,2,0.397
000038,深大通,000038.sz,2015-03-23,强烈控盘,22.81,0,0,0,0,0,0,0,0,-1
000039,中集集团,000039.sz,2015-04-09,强烈控盘,21.29,25.86,26.90,807506,216808,27.35,26.06,26.93,2,0.265
000040,宝安地产,000040.sz,2015-04-09,强烈控盘,7.5,10.25,9.99,195871,19971,10.60,9.61,10.15,2,0.353
000042,中洲控股,000042.sz,2015-04-09,强烈控盘,16.33,24.40,24.46,177317,44552,26.50,23.71,25.44,2,0.558
000043,中航地产,000043.sz,2015-04-09,强烈控盘,10.84,13.27,12.88,471982,61344,13.44,12.60,12.90,2,0.19
000045,深纺织Ａ,000045.sz,2015-04-09,强烈控盘,11.09,13.21,13.59,175570,24140,14.16,13.36,13.98,2,0.261
000046,泛海控股,000046.sz,2015-04-09,强烈控盘,10.1,17.08,17.09,752119,129211,17.55,16.70,17.19,2,0.702
000048,康达尔,000048.sz,2015-04-09,强烈控盘,12.57,15.05,15.00,49554,7576,15.45,14.70,15.36,2,0.222
000049,德赛电池,000049.sz,2015-04-09,强烈控盘,40.11,41.54,41.62,79225,33439,42.68,41.61,42.07,2,0.049
000050,深天马Ａ,000050.sz,2015-04-09,强烈控盘,24.48,25.73,25.55,154089,40028,26.38,25.21,26.10,2,0.066
000055,方大集团,000055.sz,2015-04-09,强烈控盘,10.5,11.05,10.92,246500,28214,11.86,10.90,11.73,2,0.117
000056,深国商,000056.sz,2015-04-09,强烈控盘,18.57,23.28,23.17,58249,14059,25.61,22.80,24.20,2,0.303
000058,深 赛 格,000058.sz,2015-04-09,强烈控盘,9.44,10.82,10.80,433402,50434,11.90,10.69,11.90,2,0.261
000059,华锦股份,000059.sz,2015-04-09,高度控盘,9.8,10.09,10.00,353522,35855,10.23,9.95,10.19,2,0.04
000060,中金岭南,000060.sz,2015-04-09,强烈控盘,11.76,14.64,14.70,924612,141708,15.60,14.70,15.50,2,0.318
000061,农 产 品,000061.sz,2015-04-09,强烈控盘,13.27,15.25,15.27,248900,38374,15.68,15.18,15.49,2,0.167
000062,深圳华强,000062.sz,2015-03-12,强烈控盘,21.08,0,0,0,0,0,0,0,0,-1
000063,中兴通讯,000063.sz,2015-04-09,强烈控盘,20.58,23.76,23.76,1033161,248214,24.37,23.56,24.20,2,0.176
000065,北方国际,000065.sz,2015-04-09,强烈控盘,20.7,23.63,23.44,105471,25249,24.45,23.11,24.10,2,0.164
000066,长城电脑,000066.sz,2015-04-09,强烈控盘,12.41,16.02,16.02,268594,43532,16.40,15.60,16.28,2,0.312
000068,*ST华赛,000068.sz,2015-01-26,轻度控盘,8.94,0,0,0,0,0,0,0,0,-1
000069,华侨城Ａ,000069.sz,2015-04-09,强烈控盘,8.94,10.28,10.04,1891194,191352,10.28,9.92,10.16,2,0.136
000070,特发信息,000070.sz,2014-09-12,强烈控盘,10.35,0,0,0,0,0,0,0,0,-1
000078,海王生物,000078.sz,2015-04-09,强烈控盘,14.49,19.31,19.99,685232,140271,21.24,19.31,21.24,2,0.466
000088,盐 田 港,000088.sz,2015-04-09,强烈控盘,10.11,12.00,11.82,809573,95974,12.09,11.61,11.91,2,0.178
000089,深圳机场,000089.sz,2015-04-09,强烈控盘,6.42,9.03,9.03,449825,41886,9.55,8.83,9.36,2,0.458
000090,天健集团,000090.sz,2015-04-09,强烈控盘,15.98,22.40,22.40,244360,57339,24.20,21.73,24.07,2,0.506
000096,广聚能源,000096.sz,2015-04-09,强烈控盘,8.76,10.68,10.67,209510,23115,11.28,10.51,11.17,2,0.275
000099,中信海直,000099.sz,2015-04-09,强烈控盘,15.58,15.89,15.92,195145,31419,16.20,15.76,16.18,2,0.039
000100,TCL 集团,000100.sz,2015-04-09,强烈控盘,5.47,6.16,6.18,4316173,266827,6.27,6.06,6.20,2,0.133
000150,宜华健康,000150.sz,2015-04-09,强烈控盘,28.63,47.61,47.33,68258,33326,50.00,46.18,49.40,2,0.725
000151,中成股份,000151.sz,2015-04-09,强烈控盘,21.63,25.27,25.30,290482,77077,27.68,25.04,26.51,2,0.226
000153,丰原药业,000153.sz,2015-04-09,强烈控盘,13.42,14.32,14.34,241338,35549,15.23,14.20,14.99,2,0.117
000155,ST川化,000155.sz,2015-04-09,强烈控盘,9.42,10.59,10.42,165234,17657,10.94,10.39,10.81,2,0.148
000156,华数传媒,000156.sz,2015-04-09,强烈控盘,41.55,46.26,46.40,30242,14451,48.50,46.27,48.25,2,0.161
000157,中联重科,000157.sz,2015-04-09,强烈控盘,6.79,7.47,7.45,1929425,144605,7.55,7.38,7.53,2,0.109
000158,常山股份,000158.sz,2015-04-09,强烈控盘,13.81,17.43,17.40,352159,63699,18.66,17.20,18.66,2,0.351
000159,国际实业,000159.sz,2015-04-09,强烈控盘,12.42,14.23,14.10,324608,46546,14.60,13.96,14.42,2,0.161
000301,东方市场,000301.sz,2015-04-09,强烈控盘,5.93,7.70,7.62,502216,38955,7.93,7.48,7.73,2,0.304
000333,美的集团,000333.sz,2015-04-09,强烈控盘,27.1,32.88,32.42,354208,117375,33.60,32.42,33.52,2,0.237
000338,潍柴动力,000338.sz,2015-04-09,强烈控盘,28.81,32.36,32.36,414779,135729,33.08,32.10,32.91,2,0.142
000400,许继电气,000400.sz,2015-04-09,强烈控盘,28.28,30.02,29.94,426362,130022,30.80,29.71,30.47,2,0.077
