code,name,market,主力控盘日期,控盘程度,main_cost_value
000001,,000001.sz,NA,,NA
000002,,000002.sz,NA,,NA
000004,,000004.sz,NA,,NA
000005,,000005.sz,NA,,NA
000006,,000006.sz,NA,,NA
000007,,000007.sz,NA,,NA
000008,,000008.sz,NA,,NA
000009,,000009.sz,NA,,NA
000010,,000010.sz,NA,,NA
000011,,000011.sz,NA,,NA
000012,,000012.sz,NA,,NA
000014,,000014.sz,NA,,NA
000016,,000016.sz,NA,,NA
000017,,000017.sz,NA,,NA
000018,,000018.sz,NA,,NA
000019,,000019.sz,NA,,NA
000020,,000020.sz,NA,,NA
000021,,000021.sz,NA,,NA
000022,,000022.sz,NA,,NA
000023,,000023.sz,NA,,NA
000024,,000024.sz,NA,,NA
000025,,000025.sz,NA,,NA
000026,,000026.sz,NA,,NA
000027,,000027.sz,NA,,NA
000028,,000028.sz,NA,,NA
000029,,000029.sz,NA,,NA
000030,,000030.sz,NA,,NA
000031,,000031.sz,NA,,NA
000032,,000032.sz,NA,,NA
000034,,000034.sz,NA,,NA
000035,,000035.sz,NA,,NA
000036,,000036.sz,NA,,NA
000037,,000037.sz,NA,,NA
000038,,000038.sz,NA,,NA
000039,,000039.sz,NA,,NA
000040,,000040.sz,NA,,NA
000042,,000042.sz,NA,,NA
000043,,000043.sz,NA,,NA
000045,,000045.sz,NA,,NA
000046,,000046.sz,NA,,NA
000048,,000048.sz,NA,,NA
000049,,000049.sz,NA,,NA
000050,,000050.sz,NA,,NA
000055,,000055.sz,NA,,NA
000056,,000056.sz,NA,,NA
000058,,000058.sz,NA,,NA
000059,,000059.sz,NA,,NA
000060,,000060.sz,NA,,NA
000061,,000061.sz,NA,,NA
000062,,000062.sz,NA,,NA
000063,,000063.sz,NA,,NA
000065,,000065.sz,NA,,NA
000066,,000066.sz,NA,,NA
000068,,000068.sz,NA,,NA
000069,,000069.sz,NA,,NA
000070,,000070.sz,NA,,NA
000078,,000078.sz,NA,,NA
000088,,000088.sz,NA,,NA
000089,,000089.sz,NA,,NA
000090,,000090.sz,NA,,NA
000096,,000096.sz,NA,,NA
000099,,000099.sz,NA,,NA
000100,,000100.sz,NA,,NA
000150,,000150.sz,NA,,NA
000151,,000151.sz,NA,,NA
000153,,000153.sz,NA,,NA
000155,,000155.sz,NA,,NA
000156,,000156.sz,NA,,NA
000157,,000157.sz,NA,,NA
000158,,000158.sz,NA,,NA
000159,,000159.sz,NA,,NA
000301,,000301.sz,NA,,NA
000333,,000333.sz,NA,,NA
000338,,000338.sz,NA,,NA
000400,,000400.sz,NA,,NA
000401,,000401.sz,NA,,NA
000402,,000402.sz,NA,,NA
000404,,000404.sz,NA,,NA
000407,,000407.sz,NA,,NA
000408,,000408.sz,NA,,NA
000409,,000409.sz,NA,,NA
000410,,000410.sz,NA,,NA
000411,,000411.sz,NA,,NA
000413,,000413.sz,NA,,NA
000415,,000415.sz,NA,,NA
000416,,000416.sz,NA,,NA
000417,,000417.sz,NA,,NA
000418,,000418.sz,NA,,NA
000419,,000419.sz,NA,,NA
000420,,000420.sz,NA,,NA
000421,,000421.sz,NA,,NA
000422,,000422.sz,NA,,NA
000423,,000423.sz,NA,,NA
000425,,000425.sz,NA,,NA
000426,,000426.sz,NA,,NA
000428,,000428.sz,NA,,NA
000429,,000429.sz,NA,,NA
000430,,000430.sz,NA,,NA
000488,,000488.sz,NA,,NA
000498,,000498.sz,NA,,NA
000501,,000501.sz,NA,,NA
000502,,000502.sz,NA,,NA
000503,,000503.sz,NA,,NA
000505,,000505.sz,NA,,NA
000506,,000506.sz,NA,,NA
000507,,000507.sz,NA,,NA
000509,,000509.sz,NA,,NA
000510,,000510.sz,NA,,NA
000511,,000511.sz,NA,,NA
000513,,000513.sz,NA,,NA
000514,,000514.sz,NA,,NA
000516,,000516.sz,NA,,NA
000517,,000517.sz,NA,,NA
000518,,000518.sz,NA,,NA
000519,,000519.sz,NA,,NA
000521,,000521.sz,NA,,NA
000523,,000523.sz,NA,,NA
000524,,000524.sz,NA,,NA
000525,,000525.sz,NA,,NA
000526,,000526.sz,NA,,NA
000528,,000528.sz,NA,,NA
000529,,000529.sz,NA,,NA
000530,,000530.sz,NA,,NA
000531,,000531.sz,NA,,NA
000532,,000532.sz,NA,,NA
000533,,000533.sz,NA,,NA
000534,,000534.sz,NA,,NA
000536,,000536.sz,NA,,NA
000537,,000537.sz,NA,,NA
000538,,000538.sz,NA,,NA
000539,,000539.sz,NA,,NA
000540,,000540.sz,NA,,NA
000541,,000541.sz,NA,,NA
000543,,000543.sz,NA,,NA
000544,,000544.sz,NA,,NA
000545,,000545.sz,NA,,NA
000546,,000546.sz,NA,,NA
000547,,000547.sz,NA,,NA
000548,,000548.sz,NA,,NA
000550,,000550.sz,NA,,NA
000551,,000551.sz,NA,,NA
000552,,000552.sz,NA,,NA
000553,,000553.sz,NA,,NA
000554,,000554.sz,NA,,NA
000555,,000555.sz,NA,,NA
000558,,000558.sz,NA,,NA
000559,,000559.sz,NA,,NA
000560,,000560.sz,NA,,NA
000561,,000561.sz,NA,,NA
000562,,000562.sz,NA,,NA
000563,,000563.sz,NA,,NA
000564,,000564.sz,NA,,NA
000565,,000565.sz,NA,,NA
000566,,000566.sz,NA,,NA
000567,,000567.sz,NA,,NA
000568,,000568.sz,NA,,NA
000570,,000570.sz,NA,,NA
000571,,000571.sz,NA,,NA
000572,,000572.sz,NA,,NA
000573,,000573.sz,NA,,NA
000576,,000576.sz,NA,,NA
000581,,000581.sz,NA,,NA
000582,,000582.sz,NA,,NA
000584,,000584.sz,NA,,NA
000585,,000585.sz,NA,,NA
